sample_id,r,z,p,PT_diff_srr,PT_diff_szz,PT_diff_srz,PT_diff_stt,PN1_diff_srr,PN1_diff_szz,PN1_diff_srz,PN1_diff_stt,PN1_var_srr,PN1_var_szz,PN1_var_srz,PN1_var_stt,PN2_diff_srr,PN2_diff_szz,PN2_diff_srz,PN2_diff_stt,PN2_var_srr,PN2_var_szz,PN2_var_srz,PN2_var_stt,PN3_diff_srr,PN3_diff_szz,PN3_diff_srz,PN3_diff_stt,PN3_var_srr,PN3_var_szz,PN3_var_srz,PN3_var_stt,PN4_diff_srr,PN4_diff_szz,PN4_diff_srz,PN4_diff_stt,PN4_var_srr,PN4_var_szz,PN4_var_srz,PN4_var_stt,TARGET_srr,TARGET_szz,TARGET_srz,TARGET_stt
0,1.25,0.25,56.45989214606119,-3.7438301024731366,-0.7411069501660457,-4.4682890456770346e-14,1.2734736019196617,-3.7438301024730904,-0.7411069501660119,-1.9288350987169865e-14,1.2734736019196902,0.0,2.1316282072803006e-14,3.1235037486275825e-15,1.4210854715202004e-14,8.943472897531834,1.7809255193971438,-1.0554443914754349e-14,-3.0070544995413115,-5.6332422905161685,4.22493171788712,-3.0639866299190086e-15,19.716348016806506,0.05660220014964601,-0.040371071105880674,-3.2914755313790104e-14,-0.1911724371691932,15.694814372203371,0.1857112843027302,4.892497254204736e-15,-15.075776757860908,-3.7438301024729626,-0.7411069501660066,-3.688901036487856e-14,1.2734736019196617,6.039613253960852e-14,7.105427357601002e-15,4.697742768034448e-14,1.4210854715202004e-14,1.8101090022938315,0.4334108973585984,-1.9477737482817744e-13,-0.3654060110979458
0,1.5,0.25,56.45989214606119,0.05660220014964601,-0.040371071105880674,-3.2914755313790104e-14,-0.1911724371691932,0.05660220014966377,-0.04037107110586291,-2.4484271048431075e-14,-0.19117243716918608,1.4210854715202004e-14,2.1316282072803006e-14,-5.306980516731461e-15,0.0,-3.7438301024731366,-0.7411069501660457,-4.4682890456770346e-14,1.2734736019196617,-15.694814372203371,-0.1857112843027302,-4.892497254204736e-15,15.075776757860908,0.02273433476895903,-0.04066188640785384,-2.0006257056753058e-14,-0.15827395612843986,9.268982850466607,0.07959055041544083,6.52067174495735e-15,-9.003681015748448,0.05660220014968864,-0.04037107110585758,-1.9480713338756083e-14,-0.1911724371692003,-3.552713678800501e-15,-1.0658141036401503e-14,3.782903734540224e-14,0.0,0.845537758924225,0.24477092026575775,1.2362707268851835e-13,-0.029634691372208977
0,1.75,0.25,56.45989214606119,0.02273433476895903,-0.04066188640785384,-2.0006257056753058e-14,-0.15827395612843986,0.02273433476898834,-0.0406618864078272,-2.0426577532793393e-15,-0.15827395612841855,1.3322676295501878e-14,1.4210854715202004e-14,-8.067544339593998e-15,7.105427357601002e-15,0.05660220014964601,-0.040371071105880674,-3.2914755313790104e-14,-0.1911724371691932,-9.268982850466607,-0.07959055041544083,-6.52067174495735e-15,9.003681015748448,0.011804526334797671,-0.038662531206478334,-2.0117317512223312e-14,-0.14067963035638087,2.991278186447509,-0.54718503410629,0.0,-4.815228300135097,0.022734334768872877,-0.04066188640789825,-1.63572095901285e-14,-0.1582739561285038,-3.019806626980426e-14,-2.3092638912203256e-14,1.77712369518875e-14,-1.4210854715202004e-14,0.4565581939158214,0.16392564724435843,3.25518153880438e-14,0.08986063023103696
0,1.25,0.5,56.45989214606119,-3.7438301024729626,-0.7411069501660066,-3.688901036487856e-14,1.2734736019196617,-3.7438301024731366,-0.7411069501660457,-4.4682890456770346e-14,1.2734736019196617,-6.039613253960852e-14,-7.105427357601002e-15,-4.697742768034448e-14,-1.4210854715202004e-14,8.943472897532153,1.7809255193973481,-7.929914837548212e-14,-3.0070544995412263,-5.6332422905161295,4.224931717887138,5.884067571490121e-15,19.716348016806535,0.05660220014968864,-0.04037107110585758,-1.9480713338756083e-14,-0.1911724371692003,15.694814372203307,0.18571128430271244,-4.255893080737503e-15,-15.075776757860922,-3.7438301024730976,-0.741106950166035,5.463048875741174e-14,1.2734736019196475,-6.394884621840902e-14,-3.552713678800501e-14,1.5224820258018568e-14,1.4210854715202004e-14,1.8101090022945883,0.4334108973590354,4.4462948023570673e-13,-0.36540601109750526
0,1.5,0.5,56.45989214606119,0.05660220014968864,-0.04037107110585758,-1.9480713338756083e-14,-0.1911724371692003,0.05660220014964601,-0.040371071105880674,-3.2914755313790104e-14,-0.1911724371691932,3.552713678800501e-15,1.0658141036401503e-14,-3.782903734540224e-14,0.0,-3.7438301024729626,-0.7411069501660066,-3.688901036487856e-14,1.2734736019196617,-15.694814372203307,-0.18571128430271244,4.255893080737503e-15,15.075776757860922,0.022734334768872877,-0.04066188640789825,-1.63572095901285e-14,-0.1582739561285038,9.268982850466578,0.0795905504154284,-1.353712864855739e-14,-9.003681015748462,0.05660220014965489,-0.040371071105850476,3.1590003630093965e-14,-0.1911724371692003,-4.263256414560601e-14,-1.5987211554602254e-14,3.567745570508586e-15,1.4210854715202004e-14,0.8455377589246265,0.24477092026575242,3.5438318946037067e-13,-0.029634691372116606
0,1.75,0.5,56.45989214606119,0.022734334768872877,-0.04066188640789825,-1.63572095901285e-14,-0.1582739561285038,0.02273433476895903,-0.04066188640785384,-2.0006257056753058e-14,-0.15827395612843986,3.019806626980426e-14,2.3092638912203256e-14,-1.77712369518875e-14,1.4210854715202004e-14,0.05660220014968864,-0.04037107110585758,-1.9480713338756083e-14,-0.1911724371692003,-9.268982850466578,-0.0795905504154284,1.353712864855739e-14,9.003681015748462,0.01180452633473461,-0.0386625312065334,-2.1553129651389708e-14,-0.1406796303564306,2.9912781864475497,-0.5471850341062652,-6.5504303043116354e-15,-4.815228300135068,0.02273433476891107,-0.04066188640785384,3.1722848862971624e-14,-0.15827395612846118,-2.6645352591003757e-15,1.7763568394002505e-14,7.127517359070295e-15,2.1316282072803006e-14,0.4565581939167478,0.16392564724404046,1.5902075379545146e-13,0.08986063023127855
0,1.25,0.75,56.45989214606119,-3.7438301024730976,-0.741106950166035,5.463048875741174e-14,1.2734736019196475,-3.7438301024729626,-0.7411069501660066,-3.688901036487856e-14,1.2734736019196617,6.394884621840902e-14,3.552713678800501e-14,-1.5224820258018568e-14,-1.4210854715202004e-14,8.943472897531954,1.7809255193971847,6.073667723984238e-14,-3.0070544995412973,-5.633242290516179,4.224931717887085,-3.478469892445725e-15,19.716348016806506,0.05660220014965489,-0.040371071105850476,3.1590003630093965e-14,-0.1911724371692003,15.694814372203329,0.18571128430273198,-1.5912967768247485e-14,-15.075776757860922,-3.743830102473062,-0.741106950166019,2.586056606888889e-14,1.2734736019196902,-1.0658141036401503e-14,-1.2434497875801753e-14,-3.0183950050281855e-14,1.4210854715202004e-14,1.8101090022941442,0.43341089735891813,-2.917962168188167e-13,-0.36540601109764737
0,1.5,0.75,56.45989214606119,0.05660220014965489,-0.040371071105850476,3.1590003630093965e-14,-0.1911724371692003,0.05660220014968864,-0.04037107110585758,-1.9480713338756083e-14,-0.1911724371692003,4.263256414560601e-14,1.5987211554602254e-14,-3.567745570508586e-15,-1.4210854715202004e-14,-3.7438301024730976,-0.741106950166035,5.463048875741174e-14,1.2734736019196475,-15.694814372203329,-0.18571128430273198,1.5912967768247485e-14,15.075776757860922,0.02273433476891107,-0.04066188640785384,3.1722848862971624e-14,-0.15827395612846118,9.26898285046662,0.07959055041546215,-9.977356859995682e-15,-9.003681015748455,0.05660220014965134,-0.04037107110583804,6.63768391229846e-14,-0.19117243716918608,5.329070518200751e-15,3.552713678800501e-15,-2.3817908315609545e-14,0.0,0.8455377589249427,0.2447709202654753,-1.9132866349508438e-13,-0.029634691371946076
0,1.75,0.75,56.45989214606119,0.02273433476891107,-0.04066188640785384,3.1722848862971624e-14,-0.15827395612846118,0.022734334768872877,-0.04066188640789825,-1.63572095901285e-14,-0.1582739561285038,2.6645352591003757e-15,-1.7763568394002505e-14,-7.127517359070295e-15,-2.1316282072803006e-14,0.05660220014965489,-0.040371071105850476,3.1590003630093965e-14,-0.1911724371692003,-9.26898285046662,-0.07959055041546215,9.977356859995682e-15,9.003681015748455,0.01180452633476703,-0.03866253120649077,2.7800137148644877e-14,-0.14067963035640219,2.9912781864476057,-0.5471850341062225,-9.310994127174174e-15,-4.81522830013504,0.02273433476893505,-0.0406618864078272,5.636972370363463e-14,-0.15827395612842565,1.1546319456101628e-14,2.3092638912203256e-14,-1.96932963911027e-15,3.552713678800501e-14,0.45655819391603547,0.1639256472439179,-2.559582938899154e-13,0.08986063023114355
1,1.25,0.25,188.9488470876175,-12.52911322827508,-2.480190777556494,-2.0360055757868494e-13,4.261810636420137,-12.529113228275037,-2.480190777556423,5.127689031589676e-14,4.261810636420222,-5.684341886080802e-14,4.973799150320701e-14,-6.837905547474319e-15,0.0,29.930253649376027,5.96005076964137,-1.2179856206414864e-13,-10.063417750570693,-18.852225813762672,14.139169360322157,-1.3469637747901921e-14,65.98279034816971,0.18942509548632103,-0.1351059495723348,-2.0348152334126778e-13,-0.6397782607272973,52.52431359964741,0.6215019499041787,-2.042657753279339e-14,-50.45264043329996,-12.529113228274483,-2.480190777556345,-2.458183332377024e-13,4.261810636420222,4.263256414560601e-14,-7.105427357601002e-14,1.1176382465387765e-13,2.842170943040401e-14,6.057716302426613,1.4504542296910614,-4.3369614883124994e-13,-1.222868870120891
